Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,SE_A14016_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
06037701000,14000US06037701000,Census Tract 7010,"Census Tract 7010, Los Angeles County, California",ca,140,0,ACSSF,5987,06,037,701000,1613,1509,14,17,42,0,0,31,1434,75,83893,1613,330,377,5571,394,451,845,4726
06037701100,14000US06037701100,Census Tract 7011,"Census Tract 7011, Los Angeles County, California",ca,140,0,ACSSF,5988,06,037,701100,47,14,22,0,0,0,0,11,3,22,20341,47,11,22,923,598,192,790,133
06037701201,14000US06037701201,Census Tract 7012.01,"Census Tract 7012.01, Los Angeles County, California",ca,140,0,ACSSF,5989,06,037,701201,147,147,0,0,0,0,0,0,119,28,176719,147,21,31,3961,231,151,382,3579
06037701202,14000US06037701202,Census Tract 7012.02,"Census Tract 7012.02, Los Angeles County, California",ca,140,0,ACSSF,5990,06,037,701202,1165,1003,29,0,93,0,0,40,917,95,105313,1165,302,167,3467,155,157,312,3155
06037701302,14000US06037701302,Census Tract 7013.02,"Census Tract 7013.02, Los Angeles County, California",ca,140,0,ACSSF,5991,06,037,701302,2291,1912,0,0,276,0,17,86,1712,270,89018,2291,428,398,4880,315,355,670,4210
06037701304,14000US06037701304,Census Tract 7013.04,"Census Tract 7013.04, Los Angeles County, California",ca,140,0,ACSSF,5992,06,037,701304,1410,1241,31,0,83,0,16,39,1136,121,101324,1410,228,328,6223,353,477,830,5393
06037701402,14000US06037701402,Census Tract 7014.02,"Census Tract 7014.02, Los Angeles County, California",ca,140,0,ACSSF,5993,06,037,701402,3449,2808,68,33,314,0,42,184,2613,263,93804,3449,661,633,5821,831,629,1460,4361
06037701501,14000US06037701501,Census Tract 7015.01,"Census Tract 7015.01, Los Angeles County, California",ca,140,0,ACSSF,5994,06,037,701501,2051,1803,44,0,86,0,16,102,1750,82,81903,2051,344,335,5238,542,388,930,4308
06037701502,14000US06037701502,Census Tract 7015.02,"Census Tract 7015.02, Los Angeles County, California",ca,140,0,ACSSF,5995,06,037,701502,1460,1205,29,0,169,8,17,32,1158,73,82357,1460,335,194,3176,312,256,568,2608
06037701601,14000US06037701601,Census Tract 7016.01,"Census Tract 7016.01, Los Angeles County, California",ca,140,0,ACSSF,5996,06,037,701601,747,543,13,0,78,0,25,88,531,65,93915,747,103,161,4411,111,217,328,4083
06037701602,14000US06037701602,Census Tract 7016.02,"Census Tract 7016.02, Los Angeles County, California",ca,140,0,ACSSF,5997,06,037,701602,1182,952,52,0,86,0,28,64,883,107,93571,1182,325,162,3669,355,281,636,3033
06037701701,14000US06037701701,Census Tract 7017.01,"Census Tract 7017.01, Los Angeles County, California",ca,140,0,ACSSF,5998,06,037,701701,1272,924,133,0,103,0,45,67,767,205,71900,1272,286,243,3512,305,556,861,2651
06037701702,14000US06037701702,Census Tract 7017.02,"Census Tract 7017.02, Los Angeles County, California",ca,140,0,ACSSF,5999,06,037,701702,1555,1247,74,37,129,10,29,29,936,400,57585,1555,185,496,3489,380,611,991,2498
06037701801,14000US06037701801,Census Tract 7018.01,"Census Tract 7018.01, Los Angeles County, California",ca,140,0,ACSSF,6000,06,037,701801,2257,1350,276,0,351,0,179,101,871,695,51210,2257,531,602,7092,1193,1680,2873,4219
06037701802,14000US06037701802,Census Tract 7018.02,"Census Tract 7018.02, Los Angeles County, California",ca,140,0,ACSSF,6001,06,037,701802,1488,1010,173,0,105,0,142,58,778,382,61389,1488,367,346,4296,844,735,1579,2717
